timestamp [s];Accel.X [m/s^2];Accel.Y [m/s^2];Accel.Z [m/s^2];Mag.X [mT];Mag.Y [mT];Mag.Z [mT];Gyro.X [mdeg];Gyro.Y [mdeg];Gyro.Z [mdeg];Relative Humidity [];Pressure [Pa];Temperature [Â°C];Light [mlx];Noise [Vrms]
2022-7-28 00:11:31.198;1011;9;-12;-48;11;57;0;-61;-305;22;99420;42441;31680;4,31689
2022-7-28 00:11:31.198;1009;10;-9;-49;10;54;366;0;-61;22;99417;42431;31680;7,47708
2022-7-28 00:11:31.199;1016;8;-7;-50;12;55;244;-122;-244;22;99419;42431;31680;0.00017799
2022-7-28 00:11:31.199;1009;9;-13;-49;10;54;183;0;-183;22;99424;42441;31680;4,31689
2022-7-28 00:11:31.199;1005;7;-13;-49;11;54;122;-61;-305;22;99418;42441;31680;4,31689
2022-7-28 00:11:31.200;1009;5;-13;-49;10;54;183;-183;-61;22;99417;42441;31680;4,31689
2022-7-28 00:11:31.200;1005;4;-9;-49;11;55;183;0;-122;22;99418;42431;31680;4,31689
2022-7-28 00:11:31.200;1005;4;-7;-48;9;55;305;0;-244;22;99418;42431;31680;4,31689
2022-7-28 00:11:31.200;1011;5;-13;-49;11;56;244;-366;-61;22;99423;42441;31680;0
2022-7-28 00:11:31.200;1009;6;-11;-49;9;55;-61;61;-244;22;99416;42431;31680;6,10501
2022-7-28 00:11:31.201;1007;8;-14;-49;10;55;183;-122;-122;22;99418;42441;31680;4,31689
2022-7-28 00:11:31.201;1007;6;-11;-49;10;55;61;-122;-122;22;99418;42441;31680;0
2022-7-28 00:11:31.201;1006;6;-9;-48;10;55;0;-183;-61;22;99419;42441;31680;0
2022-7-28 00:11:31.202;1005;9;-15;-48;12;55;183;-122;-61;22;99421;42431;31680;6,10501
2022-7-28 00:11:31.202;1004;7;-8;-49;10;54;0;61;-122;22;99421;42441;31680;4,31689
2022-7-28 00:11:31.202;1010;9;-7;-49;10;57;61;0;0;22;99422;42441;31680;7,47708
2022-7-28 00:11:31.202;1010;7;-14;-48;10;54;61;122;-122;22;99418;42441;31680;0.000232472
2022-7-28 00:11:31.202;1011;7;-12;-48;10;55;244;61;-122;22;99417;42441;31680;0
2022-7-28 00:11:31.203;1009;9;-14;-48;10;55;122;122;-244;22;99417;42441;31680;0
2022-7-28 00:11:31.203;1011;5;-10;-48;10;54;0;-61;-122;22;99421;42431;31680;8,63378
2022-7-28 00:11:31.203;1010;9;-10;-49;10;55;122;244;-244;22;99416;42431;31680;7,47708
